SOC2018Code,SOC2018Title,CIP2020Code,CIP2020Title
11-1011,Chief Executives,44.0401,Public Administration.
11-1011,Chief Executives,52.0101,"Business/Commerce, General."
11-1011,Chief Executives,52.0201,"Business Administration and Management, General."
11-1011,Chief Executives,52.0206,Non-Profit/Public/Organizational Management.
11-1011,Chief Executives,52.0701,Entrepreneurship/Entrepreneurial Studies.
11-1011,Chief Executives,52.0704,Social Entrepreneurship.
11-1011,Chief Executives,52.0801,"Finance, General."
11-1011,Chief Executives,52.1101,International Business/Trade/Commerce.
11-1011,Chief Executives,52.1301,Management Science.
11-1021,General and Operations Managers,01.8202,Veterinary Office Management/Administration.
11-1021,General and Operations Managers,31.0301,"Parks, Recreation, and Leisure Facilities Management, General."
11-1021,General and Operations Managers,31.0399,"Parks, Recreation, and Leisure Facilities Management, Other."
11-1021,General and Operations Managers,44.0401,Public Administration.
11-1021,General and Operations Managers,52.0101,"Business/Commerce, General."
11-1021,General and Operations Managers,52.0201,"Business Administration and Management, General."
11-1021,General and Operations Managers,52.0206,Non-Profit/Public/Organizational Management.
11-1021,General and Operations Managers,52.0212,Retail Management.
11-1021,General and Operations Managers,52.0215,Risk Management.
11-1021,General and Operations Managers,52.0701,Entrepreneurship/Entrepreneurial Studies.
11-1021,General and Operations Managers,52.0704,Social Entrepreneurship.
11-1021,General and Operations Managers,52.0801,"Finance, General."
11-1021,General and Operations Managers,52.0810,Financial Risk Management.
11-1021,General and Operations Managers,52.1101,International Business/Trade/Commerce.
11-1021,General and Operations Managers,52.1301,Management Science.
11-1031,Legislators,44.0401,Public Administration.
11-1031,Legislators,44.0501,"Public Policy Analysis, General."
11-2011,Advertising and Promotions Managers,09.0900,"Public Relations, Advertising, and Applied Communication."
11-2011,Advertising and Promotions Managers,09.0902,Public Relations/Image Management.
11-2011,Advertising and Promotions Managers,09.0903,Advertising.
11-2011,Advertising and Promotions Managers,52.1401,"Marketing/Marketing Management, General."
11-2021,Marketing Managers,19.0203,Consumer Merchandising/Retailing Management.
11-2021,Marketing Managers,19.0905,Apparel and Textile Marketing Management.
11-2021,Marketing Managers,51.2011,Pharmaceutical Marketing and Management.
