CIP,CIPTitle
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.
01.0106,Agricultural Business Technology/Technician.
01.0205,Agricultural Mechanics and Equipment/Machine Technology/Technician.
01.0504,Dog/Pet/Animal Grooming.
01.0509,Farrier Science.
01.0601,"Applied Horticulture/Horticulture Operations, General."
01.0603,Ornamental Horticulture.
01.0604,Greenhouse Operations and Management.
01.0605,Landscaping and Groundskeeping.
01.0606,Plant Nursery Operations and Management.
01.0607,Turf and Turfgrass Management.
01.0608,Floriculture/Floristry Operations and Management.
01.0802,Agricultural Communication/Journalism.
01.8001,Veterinary Medicine.
01.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General."
01.8102,Comparative and Laboratory Animal Medicine.
01.8103,Large Animal/Food Animal and Equine Surgery and Medicine.
01.8104,Small/Companion Animal Surgery and Medicine.
01.8105,Veterinary Anatomy.
01.8106,Veterinary Infectious Diseases.
01.8107,Veterinary Microbiology and Immunobiology.
01.8108,Veterinary Pathology and Pathobiology.
01.8109,Veterinary Physiology.
01.8110,"Veterinary Preventive Medicine, Epidemiology, and Public Health."
01.8111,Veterinary Toxicology and Pharmacology.
01.8199,"Veterinary Biomedical and Clinical Sciences, Other."
01.8201,"Veterinary Administrative Services, General."
01.8202,Veterinary Office Management/Administration.
01.8203,Veterinary Reception/Receptionist.
01.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.
01.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant.
01.8399,"Veterinary/Animal Health Technologies/Technicians, Other."
03.0103,Environmental Studies.
03.0104,Environmental Science.
03.0208,Environmental/Natural Resources Law Enforcement and Protective Services.
03.0209,Energy and Environmental Policy.
04.0201,Architecture.
04.0202,Architectural Design.
04.0401,Environmental Design/Architecture.
04.0801,"Architectural History and Criticism, General."
04.0901,Architectural Technology/Technician.
04.0902,Architectural and Building Sciences/Technology.
04.0999,"Architectural Sciences and Technology, Other."
10.0201,Photographic and Film/Video Technology/Technician.
10.0203,Recording Arts Technology/Technician.
12.0401,"Cosmetology/Cosmetologist, General."
12.0404,Electrolysis/Electrology and Electrolysis Technician.
12.0406,Make-Up Artist/Specialist.
12.0407,Hair Styling/Stylist and Hair Design.
12.0408,Facial Treatment Specialist/Facialist.
12.0409,Aesthetician/Esthetician and Skin Care Specialist.
12.0410,Nail Technician/Specialist and Manicurist.
12.0411,Permanent Cosmetics/Makeup and Tattooing.
12.0412,Salon/Beauty Salon Management/Manager.
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor."
12.0414,Master Aesthetician/Esthetician.
12.0499,"Cosmetology and Related Personal Grooming Arts, Other."
12.0500,"Cooking and Related Culinary Arts, General."
12.0502,Bartending/Bartender.
12.0503,Culinary Arts/Chef Training.
12.0504,"Restaurant, Culinary, and Catering Management/Manager."
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager."
13.0201,Bilingual and Multilingual Education.
13.0301,Curriculum and Instruction.
13.0501,Educational/Instructional Technology.
13.0601,Educational Evaluation and Research.
13.0603,Educational Statistics and Research Methods.
13.0604,"Educational Assessment, Testing, and Measurement."
13.0608,Institutional Research.
13.0699,"Educational Assessment, Evaluation, and Research, Other."
13.1201,Adult and Continuing Education and Teaching.
13.1202,Elementary Education and Teaching.
13.1206,"Teacher Education, Multiple Levels."
13.1207,Montessori Teacher Education.
13.1208,Waldorf/Steiner Teacher Education.
13.1209,Kindergarten/Preschool Education and Teaching.
13.1210,Early Childhood Education and Teaching.
13.1211,Online Educator/Online Teaching.
13.1212,International Teaching and Learning.
13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods."
13.1303,Business and Innovation/Entrepreneurship Teacher Education.
13.1310,Sales and Marketing Operations/Marketing and Distribution   Teacher Education.
13.1314,Physical Education Teaching and Coaching.
13.1327,Health Occupations Teacher Education.
13.1338,Environmental Education.
13.1339,Communication Arts and Literature Teacher Education.
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor.
13.1402,Teaching French as a Second or Foreign Language.
13.1499,"Teaching English or French as a Second or Foreign Language, Other."
14.0801,"Civil Engineering, General."
14.0802,Geotechnical and Geoenvironmental Engineering.
14.0803,Structural Engineering.
14.0804,Transportation and Highway Engineering.
14.0805,Water Resources Engineering.
14.0899,"Civil Engineering, Other."
14.1801,Materials Engineering.
14.1901,Mechanical Engineering.
14.2701,Systems Engineering.
14.3301,Construction Engineering.
14.3501,Industrial Engineering.
14.3601,Manufacturing Engineering.
14.3701,Operations Research.
15.0101,Architectural Engineering Technologies/Technicians.
15.0614,Welding Engineering Technology/Technician.
15.1001,Construction Engineering Technology/Technician.
15.1301,"Drafting and Design Technology/Technician, General."
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.
15.1303,Architectural Drafting and Architectural CAD/CADD.
15.1304,Civil Drafting and Civil Engineering CAD/CADD.
15.1307,3-D Modeling and Design Technology/Technician.
15.1501,Engineering/Industrial Management.
15.1503,Packaging Science.
19.0203,Consumer Merchandising/Retailing Management.
19.0505,Foodservice Systems Administration/Management.
19.0604,Facilities Planning and Management.
19.0706,Child Development.
19.0708,Child Care and Support Services Management.
19.0709,Child Care Provider/Assistant.
19.0710,Developmental Services Worker.
19.0711,Early Childhood and Family Studies.
19.0905,Apparel and Textile Marketing Management.
22.0000,Legal Studies.
22.0101,Law.
22.0201,"Advanced Legal Research/Studies, General."
22.0202,Programs for Foreign Lawyers.
22.0203,American/U.S. Law/Legal Studies/Jurisprudence.
22.0204,Canadian Law/Legal Studies/Jurisprudence.
22.0205,"Banking, Corporate, Finance, and Securities Law."
22.0206,Comparative Law.
22.0207,"Energy, Environment, and Natural Resources Law."
22.0208,Health Law.
22.0209,International Law and Legal Studies.
22.0210,"International Business, Trade, and Tax Law."
22.0211,Tax Law/Taxation.
22.0212,Intellectual Property Law.
22.0213,Patent Law.
22.0214,Agriculture Law.
22.0215,Arts and Entertainment Law.
22.0216,Compliance Law.
22.0217,Criminal Law and Procedure.
22.0218,Entrepreneurship Law.
22.0219,Family/Child/Elder Law.
22.0220,Human Resources Law.
22.0221,Insurance Law.
22.0222,Real Estate and Land Development Law.
22.0223,Transportation Law.
22.0224,Tribal/Indigenous Law.
22.0299,"Legal Research and Advanced Professional Studies, Other."
22.0302,Legal Assistant/Paralegal.
26.0202,Biochemistry.
26.0203,Biophysics.
26.0205,Molecular Biochemistry.
26.0206,Molecular Biophysics.
26.0207,Structural Biology.
26.0210,Biochemistry and Molecular Biology.
26.0401,Cell/Cellular Biology and Histology.
26.0403,Anatomy.
26.0404,Developmental Biology and Embryology.
26.0499,"Cell/Cellular Biology and Anatomical Sciences, Other."
26.0503,Medical Microbiology and Bacteriology.
26.0913,Biomechanics.
26.0999,"Physiology, Pathology, and Related Sciences, Other."
26.1001,Pharmacology.
26.1002,Molecular Pharmacology.
26.1003,Neuropharmacology.
26.1004,Toxicology.
26.1005,Molecular Toxicology.
26.1006,Environmental Toxicology.
26.1007,Pharmacology and Toxicology.
26.1099,"Pharmacology and Toxicology, Other."
26.1102,Biostatistics.
26.1309,Epidemiology.
26.1311,Epidemiology and Biostatistics.
27.0601,"Applied Statistics, General."
30.1101,Gerontology.
30.1601,Accounting and Computer Science.
30.1901,Nutrition Sciences.
30.2502,Contemplative Studies/Inquiry.
30.2801,Dispute Resolution.
30.3401,Anthrozoology.
30.4101,Environmental Geosciences.
30.5301,Thanatology.
30.7101,"Data Analytics, General."
30.7102,Business Analytics.
30.7103,Data Visualization.
30.7104,Financial Analytics.
30.7199,"Data Analytics, Other."
31.0302,Golf Course Operation and Grounds Management.
31.0501,"Sports, Kinesiology, and Physical Education/Fitness, General."
31.0504,Sport and Fitness Administration/Management.
31.0507,Physical Fitness Technician.
31.0601,Outdoor Education.
40.0501,"Chemistry, General."
40.0502,Analytical Chemistry.
40.0503,Inorganic Chemistry.
40.0504,Organic Chemistry.
40.0506,Physical Chemistry.
40.0507,Polymer Chemistry.
40.0508,Chemical Physics.
40.0509,Environmental Chemistry.
40.0510,Forensic Chemistry.
40.0511,Theoretical Chemistry.
40.0512,Cheminformatics/Chemistry Informatics.
40.0599,"Chemistry, Other."
40.1002,Materials Chemistry.
42.2709,Psychopharmacology.
42.2804,Industrial and Organizational Psychology.
42.2815,Performance and Sport Psychology.
43.0121,Suspension and Debarment Investigation.
43.0405,Financial Forensics and Fraud Investigation.
44.0000,"Human Services, General."
44.0503,Health Policy Analysis.
44.0701,Social Work.
44.0703,Forensic Social Work.
44.0799,"Social Work, Other."
45.0199,"Social Sciences, Other."
45.0602,Applied Economics.
46.0302,Electrician.
46.0401,Building/Property Maintenance.
46.0402,Concrete Finishing/Concrete Finisher.
46.0502,Pipefitting/Pipefitter and Sprinkler Fitter.
46.0503,Plumbing Technology/Plumber.
46.0599,"Plumbing and Related Water Supply Services, Other."
47.0302,Heavy Equipment Maintenance Technology/Technician.
47.0303,Industrial Mechanics and Maintenance Technology/Technician.
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician.
47.0608,Aircraft Powerplant Technology/Technician.
47.0701,Energy Systems Installation and Repair Technology/Technician.
47.0705,Hydroelectric Energy System Installation and Repair Technology/Technician.
47.0706,Geothermal Energy System Installation and Repair Technology/Technician.
48.0508,Welding Technology/Welder.
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation.
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor.
49.0206,Mobil Crane Operator/Operation.
49.0209,Forklift Operation/Operator.
51.0101,Chiropractic.
51.0201,"Communication Sciences and Disorders, General."
51.0202,Audiology/Audiologist.
51.0203,Speech-Language Pathology/Pathologist.
51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist.
51.0299,"Communication Disorders Sciences and Services, Other."
51.0401,Dentistry.
51.0501,"Dental Clinical Sciences, General."
51.0502,Advanced General Dentistry.
51.0504,Dental Public Health and Education.
51.0505,Dental Materials.
51.0506,Endodontics/Endodontology.
51.0507,Oral/Maxillofacial Surgery.
51.0508,Orthodontics/Orthodontology.
51.0509,Pediatric Dentistry/Pedodontics.
51.0510,Periodontics/Periodontology.
51.0511,Prosthodontics/Prosthodontology.
51.0512,Digital Dentistry.
51.0513,Geriatric Dentistry.
51.0514,Implantology/Implant Dentistry.
51.0599,"Advanced/Graduate Dentistry and Oral Sciences, Other."
51.0601,Dental Assisting/Assistant.
51.0602,Dental Hygiene/Hygienist.
51.0603,Dental Laboratory Technology/Technician.
51.0702,Hospital and Health Care Facilities Administration/Management.
51.0705,Medical Office Management/Administration.
51.0711,Medical/Health Management and Clinical Assistant/Specialist.
51.0712,Medical Reception/Receptionist.
51.0717,Medical Staff Services Technology/Technician.
51.0720,Regulatory Science/Affairs.
51.0801,Medical/Clinical Assistant.
51.0802,Clinical/Medical Laboratory Assistant.
51.0803,Occupational Therapist Assistant.
51.0805,Pharmacy Technician/Assistant.
51.0809,Anesthesiologist Assistant.
51.0813,Chiropractic Technician/Assistant.
51.0901,Cardiovascular Technology/Technologist.
51.0902,Electrocardiograph Technology/Technician.
51.0903,Electroneurodiagnostic/Electroencephalographic Technology/Technologist.
51.0904,Emergency Medical Technology/Technician (EMT Paramedic).
51.0905,Nuclear Medical Technology/Technologist.
51.0906,Perfusion Technology/Perfusionist.
51.0907,Medical Radiologic Technology/Science - Radiation Therapist.
51.0908,Respiratory Care Therapy/Therapist.
51.0909,Surgical Technology/Technologist.
51.0910,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician.
51.0911,Radiologic Technology/Science - Radiographer.
51.0912,Physician Assistant.
51.0913,Athletic Training/Trainer.
51.0914,Gene/Genetic Therapy.
51.0915,Cardiopulmonary Technology/Technologist.
51.0916,Radiation Protection/Health Physics Technician.
51.0917,Polysomnography.
51.0919,Mammography Technology/Technician.
51.0920,Magnetic Resonance Imaging (MRI) Technology/Technician.
51.0921,Hyperbaric Medicine Technology/Technician.
51.0922,Intraoperative Neuromonitoring Technology/Technician.
51.0923,Orthopedic Technology/Technician.
51.0999,"Allied Health Diagnostic, Intervention, and Treatment Professions, Other."
51.1001,Blood Bank Technology Specialist.
51.1002,Cytotechnology/Cytotechnologist.
51.1003,Hematology Technology/Technician.
51.1004,Clinical/Medical Laboratory Technician.
51.1005,Clinical Laboratory Science/Medical Technology/Technologist.
51.1006,Ophthalmic Laboratory Technology/Technician.
51.1007,Histologic Technology/Histotechnologist.
51.1008,Histologic Technician.
