SOC,OCCUPATIONTITLE
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
13-1051,Cost Estimators
13-1071,Human Resources Specialists
13-1081,Logisticians
13-1111,Management Analysts
13-1121,"Meeting, Convention, and Event Planners"
13-1161,Market Research Analysts and Marketing Specialists
13-2011,Accountants and Auditors
13-2061,Financial Examiners
15-1122,Information Security Analysts
15-1132,"Software Developers, Applications"
15-1134,Web Developers
15-2031,Operations Research Analysts
17-1011,"Architects, Except Landscape and Naval"
17-2051,Civil Engineers
17-2112,Industrial Engineers
17-3011,Architectural and Civil Drafters
19-1021,Biochemists and Biophysicists
19-2031,Chemists
21-1022,Healthcare Social Workers
21-1093,Social and Human Service Assistants
23-1011,Lawyers
23-2011,Paralegals and Legal Assistants
25-1011,"Business Teachers, Postsecondary"
25-1071,"Health Specialties Teachers, Postsecondary"
25-1072,"Nursing Instructors and Teachers, Postsecondary"
25-2011,"Preschool Teachers, Except Special Education"
25-2021,"Elementary School Teachers, Except Special Education"
25-3021,Self-Enrichment Education Teachers
25-9031,Instructional Coordinators
27-2022,Coaches and Scouts
27-4011,Audio and Video Equipment Technicians
29-1021,"Dentists, General"
29-1069,"Physicians and Surgeons, All Other"
29-1071,Physician Assistants
29-1122,Occupational Therapists
29-1123,Physical Therapists
29-1126,Respiratory Therapists
29-1127,Speech-Language Pathologists
29-1141,Registered Nurses
29-1171,Nurse Practitioners
29-2032,Diagnostic Medical Sonographers
29-2034,Radiologic Technologists and Technicians
29-2052,Pharmacy Technicians
29-2056,Veterinary Technologists and Technicians
29-2061,Licensed Practical and Licensed Vocational Nurses
31-1011,Home Health Aides
31-1014,Nursing Assistants
31-2022,Physical Therapist Aides
31-9011,Massage Therapists
31-9091,Dental Assistants
31-9092,Medical Assistants
31-9093,Medical Equipment Preparers
31-9097,Phlebotomists
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
35-1012,First-Line Supervisors of Food Preparation and Serving Workers
35-2014,"Cooks, Restaurant"
35-2021,Food Preparation Workers
35-3011,Bartenders
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food"
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
35-3031,Waiters and Waitresses
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-3011,Landscaping and Groundskeeping Workers
39-1021,First-Line Supervisors of Personal Service Workers
39-2021,Nonfarm Animal Caretakers
39-3031,"Ushers, Lobby Attendants, and Ticket Takers"
39-3091,Amusement and Recreation Attendants
39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
39-5092,Manicurists and Pedicurists
39-5094,Skincare Specialists
39-9011,Childcare Workers
39-9021,Personal Care Aides
39-9031,Fitness Trainers and Aerobics Instructors
39-9032,Recreation Workers
41-1011,First-Line Supervisors of Retail Sales Workers
41-2031,Retail Salespersons
41-3021,Insurance Sales Agents
41-3041,Travel Agents
41-3099,"Sales Representatives, Services, All Other"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-9011,Demonstrators and Product Promoters
43-1011,First-Line Supervisors of Office and Administrative Support Worke
43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
43-4051,Customer Service Representatives
43-4171,Receptionists and Information Clerks
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
43-5011,Cargo and Freight Agents
43-5061,"Production, Planning, and Expediting Clerks"
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-9041,Insurance Claims and Policy Processing Clerks
47-2051,Cement Masons and Concrete Finishers
47-2073,Operating Engineers and Other Construction Equipment Operators
47-2111,Electricians
47-2152,"Plumbers, Pipefitters, and Steamfitters"
49-3011,Aircraft Mechanics and Service Technicians
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"
49-9041,Industrial Machinery Mechanics
49-9071,"Maintenance and Repair Workers, General"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
51-4121,"Welders, Cutters, Solderers, and Brazers"
53-3032,Heavy and Tractor-Trailer Truck Drivers
53-3033,Light Truck or Delivery Services Drivers
53-6021,Parking Lot Attendants
53-7051,Industrial Truck and Tractor Operators
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
