providerid,cipcode,PerEmployed2,PerEmployed4,PerEmployed8,AvgQuarterlyWage2,AvgQuarterlyWage4,AvgQuarterlyWage8,PerRetention4,PerRetention8,NumCompleted2,NumCompleted4,NumCompleted8,NumUsedWageCalc2,NumUsedWageCalc4,NumUsedWageCalc8,NumUsedRetentionCalc4,NumUsedRetentionCalc8
6,511020,0,0,0,-99999,-99999,-99999,-99999,-99999,10,10,7,0,0,0,0,0
6,520211,0,0,0,-99999,-99999,-99999,-99999,-99999,10,10,10,0,0,0,0,0
6,520409,0,0,0,-99999,-99999,-99999,-99999,-99999,7,7,7,0,0,0,0,0
6,999999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,3,0,0,0,0,0
27,100308,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,0,3,2,0,3,0
27,110301,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,0,0,0,0,0,0
27,110601,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,1,1,1,1,1,1
27,510710,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,1,0,2,1,0,1,0
27,511020,0.8,0.8,-99999,-99999,-99999,-99999,-99999,-99999,5,5,0,4,4,0,2,0
27,520301,0.714285714285714,1,-99999,5013,5869,-99999,-99999,-99999,7,6,4,5,6,2,3,2
27,520401,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,2,1,1,2,1,1
37,110601,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,0,2,2,0,1,0
37,120503,0.529411764705882,0.588235294117647,0.714285714285714,3034,5947,7548,0.8,0.8,17,17,7,9,10,5,10,5
37,131501,0.740740740740741,0.636363636363636,0.833333333333333,5173,6007,6624,1,1,27,22,12,20,14,10,13,7
37,430109,0.733333333333333,0.692307692307692,0.555555555555556,4906,1487,6233,0.818181818181818,0.714285714285714,15,13,9,11,9,5,11,7
37,460401,0.736842105263158,0.736842105263158,0.846153846153846,6711,6962,7438,0.928571428571429,0.909090909090909,19,19,13,14,14,11,14,11
37,520302,0.411764705882353,0.588235294117647,0.6,8398,6849,8689,0.75,-99999,17,17,10,7,10,6,8,3
64,011103,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,0,2,2,0,2,0
64,110801,0.666666666666667,0.666666666666667,0.714285714285714,6338,9701.5,14606.5,0.736842105263158,0.909090909090909,27,24,14,18,16,10,19,11
64,110901,0.795918367346939,0.847826086956522,0.823529411764706,7133,7308,10674,0.921052631578947,0.923076923076923,49,46,17,39,39,14,38,13
64,131206,0.873417721518987,0.892307692307692,0.935483870967742,12480,13161.5,16672,0.966666666666667,0.964285714285714,158,130,62,138,116,58,120,56
64,160103,0.631578947368421,0.705882352941177,-99999,9456,8024.5,-99999,0.9,-99999,19,17,3,12,12,3,10,2
64,310501,0.736842105263158,0.795918367346939,0.740740740740741,4832,5245,5800,0.945945945945946,0.818181818181818,57,49,27,42,39,20,37,22
64,460000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,0,0,1,0,0,0,0
64,460403,0.661016949152542,0.741379310344828,0.75,16166,17634,21769.5,0.974358974358974,1,59,58,24,39,43,18,39,15
64,480508,0.8,0.866666666666667,0.857142857142857,7129.5,8019,13364.5,0.833333333333333,0.8,15,15,7,12,13,6,12,5
64,510601,0.805555555555556,0.841269841269841,0.838709677419355,4682.5,5144,4527.5,0.911111111111111,0.954545454545455,72,63,31,58,53,26,45,22
64,510710,0.8,0.90625,0.8125,6237.5,5935,6232,1,0.846153846153846,40,32,16,32,29,13,27,13
64,510714,0.588235294117647,0.529411764705882,-99999,7246,9042,-99999,0.7,-99999,17,17,2,10,9,0,10,1
64,510801,0.769230769230769,-99999,-99999,7041.5,-99999,-99999,-99999,-99999,13,0,0,10,0,0,0,0
64,510805,0.583333333333333,0.708333333333333,0.5,3706,4895,5522,1,0.8,24,24,10,14,17,5,14,5
64,510808,0.904761904761905,0.818181818181818,0.923076923076923,5459,6650,7000,0.857142857142857,0.923076923076923,21,22,13,19,18,12,21,13
64,512602,0.712765957446808,0.741176470588235,0.7,3714,5086,4097,0.915254237288136,0.961538461538462,94,85,40,67,63,28,59,26
64,512604,0.785714285714286,0.791666666666667,0.818181818181818,4251,4343,7809,0.894736842105263,1,28,24,11,22,19,9,19,8
64,513501,0.6,0.65,0.625,4326.5,6266,8594,0.769230769230769,0.666666666666667,20,20,8,12,13,5,13,6
64,513801,0.777777777777778,0.666666666666667,0.833333333333333,3575,9586.5,3494,0.714285714285714,-99999,9,9,6,7,6,5,7,4
64,513902,0.859574468085106,0.834319526627219,0.859154929577465,5453.5,5537,5706,0.899280575539568,0.892857142857143,235,169,71,202,141,61,139,56
64,520201,0.851851851851852,0.851851851851852,0.875,16830,19252,19470,1,1,27,27,24,23,23,21,23,20
64,520206,0.5,0.5,0.5,-99999,-99999,-99999,-99999,-99999,6,6,6,3,3,3,4,4
64,520302,0.666666666666667,0.608695652173913,0.583333333333333,8709.5,9811,10747,0.933333333333333,0.833333333333333,24,23,12,16,14,7,15,6
64,520401,0.555555555555556,0.555555555555556,0.555555555555556,6124,6389,7497,1,1,9,9,9,5,5,5,5,5
64,520809,0.8,-99999,-99999,-99999,-99999,-99999,-99999,-99999,5,0,0,4,0,0,0,0
64,521501,0.666666666666667,0.727272727272727,0.75,9326.5,9244.5,10406,0.982142857142857,0.923076923076923,117,88,40,78,64,30,56,26
65,110301,0.104477611940299,0.192307692307692,-99999,4614,12234,-99999,-99999,-99999,67,52,2,7,10,0,2,0
65,120505,0,0,-99999,-99999,-99999,-99999,-99999,-99999,17,11,4,0,0,0,0,0
65,150613,0,0,-99999,-99999,-99999,-99999,-99999,-99999,25,15,0,0,0,0,0,0
65,340103,0.142857142857143,0.142857142857143,-99999,-99999,-99999,-99999,-99999,-99999,7,7,0,1,1,0,1,0
65,510802,0,0,0.0714285714285714,-99999,-99999,-99999,-99999,-99999,14,14,14,0,0,1,0,0
65,510805,0,0,0,-99999,-99999,-99999,-99999,-99999,11,11,5,0,0,0,0,0
65,510902,0,0,0,-99999,-99999,-99999,-99999,-99999,17,14,6,0,0,0,0,0
65,511009,0,0,-99999,-99999,-99999,-99999,-99999,-99999,6,6,0,0,0,0,0,0
65,520203,0,0.0476190476190476,0.0434782608695652,-99999,-99999,-99999,-99999,-99999,63,63,23,0,3,1,0,0
65,520205,0,0,0,-99999,-99999,-99999,-99999,-99999,15,15,7,0,0,0,0,0
