ID,NAME,CODE,ISSUERID,DATECREATED,DATELASTMODIFIED,ISDELETED,DATEDELETED
430,Cisco Certified Design Professional  - WAN Switching,0438,91,,,0,
431,Cisco Certified Internetwork Expert  - Communications and Service,0439,91,,,0,
432,Cisco Certified Internetwork Expert  - ISP Dial,0440,91,,,0,
433,Cisco Certified Internetwork Expert  - WAN Switching,0441,91,,,0,
434,Cisco Certified Internetwork Expert - Routing & Switching,0442,91,,,0,
435,Cisco Certified Internetwork Professional,0443,91,,,0,
436,Cisco Certified Network Associate  - WAN Switching,0445,91,,,0,
437,Cisco Network Design,0448,79,,,0,
438,Cisco Network Support,0449,79,,,0,
439,Cisco Qualified Specialist  - Cable,0450,91,,,0,
440,Cisco Qualified Specialist  - Internet Solutions,0451,91,,,0,
441,Cisco Qualified Specialist  - SNA/IP Design Specialist,0452,91,,,0,
442,Cisco Qualified Specialist  - Security,0454,91,,,0,
443,Cisco Qualified Specialist Certification Programs,0455,91,,,0,
444,Citrix Administration,0456,79,,,0,
445,Client / Server Concepts,0457,79,,,1,13-MAY-09
446,Client/Server Concepts,0458,79,,,0,
447,Clinical Chemistry Technologist Certification,0459,208,,,0,
448,Health Coach,0460,32,,24-JUL-19,0,
449,Clinical Laboratory Director,0461,43,,,0,
450,Clinical Laboratory Phlebotomist,0462,44,,,1,02-NOV-18
451,Clinical Laboratory Supervisor,0463,64,,,0,
452,Clinical Laboratory Technician,0464,64,,,0,
453,Clinical Sexologist,0465,21,,,0,
454,Adult-Gerontology Acute Care Nurse Practitioner Certification (AGACNP-BC),0466,45,,02-NOV-18,0,
455,Clinical Specialist in Home Health Nursing,0467,45,,,1,02-NOV-18
456,Clinical Specialist in Medical-Surgical Nursing,0468,45,,,1,02-NOV-18
457,Cold Fusion,0469,79,,,0,
458,College Health Nurse,0470,45,,,1,02-NOV-18
459,Collision Repair and Refinishing Technician,0471,,,,0,
460,Combination Commercial Inspector,0472,80,,,0,
461,Combination Dwelling Inspector,0473,134,,,0,
462,Combination Inspector,0474,134,,,0,
463,Commercial Energy Inspector,0475,134,,,0,
464,Commercial Energy Plans Examiner,0476,134,,,0,
465,Commercial Energy Plans Examiner/Inspector,0477,134,,,0,
466,Commercial Refrigeration,0478,6,,,0,
467,Communications Electronics Certification,0479,67,,,1,03-APR-14
468,Communications and Services Certification Programs,0480,91,,,0,
469,Compaq - ASE AlphaServer/OpenVMS v7 Specialist Certification,0481,94,,,1,03-APR-14
470,Compaq - ASE AlphaServer/Tru64 Unix v4 Specialist Certification,0482,94,,,1,03-APR-14
471,Compaq - ASE AlphaServer/Tru64 Unix v5 Specialist Certification,0483,94,,,1,03-APR-14
472,Compaq - ASE ProLiant+StorageWorks Certification,0484,94,,,1,03-APR-14
473,Compaq - ASE ProLiant/Critical Problem Resolution Certification,0485,94,,,1,03-APR-14
474,Compaq - ASE ProLiant/Linux Certification,0486,94,,,1,03-APR-14
475,Compaq - ASE ProLiant/NetWare 5 Certification,0487,94,,,1,03-APR-14
476,Compaq - ASE ProLiant/UnixWare 7 Certification,0488,94,,,1,03-APR-14
477,Compaq - ASE ProLiant/Windows 2000 Certification,0489,94,,,1,03-APR-14
478,Compaq - Accredited Systems Engineer  Alpha Server/Linux Specialist,0490,94,,,1,03-APR-14
479,Compaq - Associate ASE Alpha Server/Linux Specialist,0491,94,,,1,03-APR-14
480,Compaq - Associate ASE AlphaServer/Tru64 Unix v4 Specialist,0492,94,,,1,03-APR-14
481,Compaq - Associate ASE AlphaServer/Tru64 Unix v5 Specialist,0493,94,,,1,03-APR-14
482,Compaq - Associate ASE Intel+StorageWorks Specialist Certification,0494,94,,,1,03-APR-14
483,Compaq - Associate ASE Intel/NetWare Specialist Certification,0495,94,,,1,03-APR-14
484,Compaq - Associate ASE Intel/UnixWare 7 Specialist Certification,0496,94,,,1,03-APR-14
485,Compaq - Associate ASE NonStop Himalaya Server Specialist Certification,0497,94,,,1,03-APR-14
486,Compaq - Master ASE Enterprise Management Certification,0498,94,,,1,03-APR-14
487,Compaq - Master ASE High Availability and Clustering Certification,0499,94,,,1,03-APR-14
488,Compaq - Master ASE Internet / Intranet Certification,0501,94,,,1,03-APR-14
489,Compaq - Master ASE Messaging and Collaboration Certification,0502,94,,,1,03-APR-14
490,Compaq - Master ASE Oracle Certification,0503,94,,,1,03-APR-14
491,Compaq - Master ASE SAN Architect Certification,0504,94,,,1,03-APR-14
492,Compaq - Master ASE SQL Server Certification,0505,94,,,1,03-APR-14
493,Compaq Server Administration (Windows NT/2000),0506,79,,,0,
494,Computed Tomography (CT),0507,52,,02-NOV-18,0,
495,Computer Associates Certified Professional  - Certified Unicent,0508,95,,,0,
496,Computer Associates Certified Professional  - Desktop Specialist,0509,95,,,0,
497,Computer Associates Certified Professional  - Help Desk Specialist,0510,95,,,0,
498,Computer Associates Certified Professional  - Network Specialist,0511,95,,,0,
499,Computer Associates Certified Professional  - Process Continuum,0512,95,,,0,
500,Computer Associates Certified Professional  - Project Engineer,0513,95,,,0,
501,Computer Associates Certified Professional  - Security Specialist,0514,95,,,0,
502,Computer Associates Certified Professional  - Storage Specialist,0515,95,,,0,
503,Computer Electronics,0516,79,,,0,
504,Computer Electronics Certification,0517,67,,,1,
505,Computer Industry Knowledge,0518,79,,,1,24-JAN-20
506,Computer Technical Support,0519,79,,,0,
507,Computer Web Specialist/Technician,0520,103,,,0,
508,Computing Technology Industry Association,0521,91,,,0,
509,ACI Field Technician Certification Program,0522,30,,13-FEB-08,0,
510,ACI Aggregate Technician Certification Program,0523,30,,13-FEB-08,0,
511,ACI Laboratory Technician Certification Program,0524,30,,13-FEB-08,0,
512,ACI Craftsman Certification Program,0525,30,,13-FEB-08,0,
513,ACI Inspector Certification Program,0526,30,,13-FEB-08,0,
514,Construction Health and Safety Technician,0527,78,,,0,
515,Consumer Electronics Certification,0528,67,,,1,
516,Consumer Electronics Technician  (Radio/TV/VCR/Audio),0529,91,,,1,15-APR-09
517,Consumer Electronics Technician (Radio/TV/VCR/Audio),0530,103,,,0,
518,Cookies and Crackers Career Path Option,0531,38,,,0,
519,Corel Draw,0532,79,,,0,
520,Corel Ventura,0533,79,,,0,
521,Counselor of Real Estate,0534,61,,,0,
522, Craniosacral Therapy (Level 1) ,0535,247,,18-MAY-09,0,
523, Craniosacral Therapy (Level 2) -Diplomate,0536,247,,18-MAY-09,0,
524,Crane Operator Certification Program,0537,187,,,0,
525,Credit Business Associate,0538,160,,,0,
526,Credit Business Fellow,0539,160,,,0,
527,Critical Care Registered Nurse,0540,10,,,0,
528,Crystal Reports 7,0541,79,,,0,
529,DB2 Administration (OS390),0542,79,,,0,
530,DB2 Administration (UDB),0543,79,,,0,
531,DB2 Universal Database,0544,112,,07-APR-08,1,17-DEC-19
532,Damage Estimators Certification,0545,,,,0,
533,Data Modeling Concepts,0546,79,,,0,
534,Data Warehousing Concepts,0547,79,,,0,
535,Database Administration,0548,79,,,1,24-JAN-20
536,Database Development,0549,79,,,1,24-JAN-20
537,Death Educator,0550,71,,,0,
538,Delphi 3.0,0551,79,,,1,16-MAY-11
539,Delphi Certification,0552,79,,16-MAY-11,0,
540,Desktop Publishing Software,0553,79,,,1,24-JAN-20
541,Diplomate in Chinese Herbology,0554,183,,,0,
542,Diplomate in Oriental Bodywork Therapy,0555,183,,,0,
543,"Diplomate, AAPC",0556,13,,,0,
544,Disability Analyst and Fellow,0557,16,,,0,
545,"Disability Specialist, Diplomate",0558,19,,,0,
546,Disaster Recovery Institute International,0559,96,,,1,23-FEB-10
547,Disaster Recovery Planning,0560,79,,,0,
548,Drafter Certification,0561,34,,,0,
