ID,NAME,CODE,DATECREATED,DATELASTMODIFIED,ISDELETED,DATEDELETED
816,ACCOUNTANT (CPA),13-2011.00,,,0,
801,ACUPUNCTURIST,29-1199.99,,,0,
863,ANIMAL CONTROL OFFICER,33-9011.00,,,0,
804,ARCHITECT,17-1011.00,,,1,28-JAN-20
844,ASBESTOS SAFETY TECHNICIAN,19-4091.00,,,0,
868,ASBESTOS EMPLOYEE,47-4041.00,,,1,20-NOV-19
837,ASSISTED LIVING ADMINISTRATOR,11-9111.00,,,0,
909,ATHLETIC TRAINER,29-9091.00,,,0,
802,ATTORNEY,23-1011.00,,,0,
920,SPEECH PATHOLOGIST/AUDIOLOGIST,29-1127.00,,,0,
811,BIO-ANALYTICAL LABORATORY DIRECTOR,11-9111.01,,,0,
950,BLASTER,47-5031.00,,,0,
899,BOILER OPERATOR - BLACK SEAL,51-8021.00,,,0,
812,BOXER,27-2021.00,,,0,
813,BOXING MANAGER,13-1011.00,,,0,
876,BUILDING INSPECTOR,47-4011.00,,,0,
936,BUS DRIVER,53-3021.00,,,0,
885,CASINO EMPLOYEE,39-3011.00,,,0,
884,CASINO KEY EMPLOYEE,11-9011.00,,,0,
911,CASINO SERVICE EMPLOYEE,39-3011.01,,,0,
820,CEMETERY SALESPERSON,41-3099.99,,,0,
834,CHEST RADIOLOGIC TECHNOLOGIST,29-2034.03,,,0,
815,CHIROPRACTOR,29-1011.00,,,0,
881,CONSTRUCTION OFFICIAL,47-4011.01,,,0,
931,CAREER CONSULTANT,11-1021.00,,,0,
807,COSMETOLOGIST-HAIRSTYLIST,39-5012.00,,,0,
809,COSMETOLOGY AND HAIRSTYLING TEACHER,25-1194.00,,,0,
819,COURT REPORTER,23-2091.00,,,0,
905,CRANE OPERATOR (LONG BOOM),,,,1,27-DEC-06
940,DENTAL ASSISTANT,31-9091.00,,,0,
822,DENTAL HYGIENIST,29-2021.01,,,0,
835,DENTAL RADIOLOGIC TECHNOLOGIST,29-2034.04,,,0,
821,DENTIST,29-1021.00,,,0,
832,DIAGNOSTIC RADIOLOGIC TECHNOLOGIST,29-2034.01,,20-NOV-19,0,
933,DRIVING INSTRUCTOR,25-3021.00,,,0,
823,ELECTRICAL CONTRACTOR,11-9021.00,,,0,
877,ELECTRICAL INSPECTOR,51-9064.04,,,0,
939,ELEVATOR INSPECTOR,47-4011.02,,,0,
927,EMERGENCY MEDICAL TECHNICIAN,29-2041.00,,,0,
852,EMPLOYMENT AGENT,39-1021.00,,20-APR-09,0,
825,ENGINEER-IN-TRAINING,17-2141.00,,,0,
882,FIRE INSPECTOR,33-2021.01,,,0,
948,FIRE INSTRUCTOR,25-3099.99,,,0,
895,FIRE OFFICIAL,33-1021.00,,,0,
878,FIRE PROTECTION INSPECTOR,33-2021.00,,,0,
930,FIREFIGHTER,33-2011.00,,,0,
848,FUNERAL DIRECTOR/MORTICIAN,11-9061.00,,28-JAN-20,0,
888,GROOM,39-2021.00,,,1,28-JAN-20
906,MARITIME PILOT,53-5021.03,,28-JAN-20,0,
886,HARNESS RACE DRIVER,27-2021.01,,,0,
887,HARNESS RACE HORSE TRAINER,39-2011.00,,,0,
891,HARNESS RACING OCCUPATIONS,39-3019.00,,,0,
830,HEARING AID DISPENSER,29-1121.00,,,0,
943,HOMEMAKER-HOME HEALTH AIDE,31-1011.00,,20-APR-09,0,
916,HOME REPAIR CONTRACTOR,11-9021.01,,,0,
917,HOME REPAIR SALESMAN,41-3099.98,,,0,
896,INSURANCE PRODUCER,41-3021.00,,,0,
894,INVESTMENT ADVISOR  REPRESENTATIVE,,,,1,27-DEC-06
935,JOB LISTING AGENT,13-1071.00,,,0,
890,JOCKEY,27-2021.02,,,0,
831,LABORATORY DIRECTOR,11-9111.02,,,0,
867,LANDSCAPE ARCHITECT,17-1012.00,,,0,
932,LANDSCAPE IRRIGATION CONTRACTOR,11-9021.02,,,0,
803,LEARNING DISABILITIES TEACHER-CONSULTANT,25-2043.00,,,0,
873,LIBRARIAN,25-4021.00,,,0,
954,LONGSHOREMAN,53-7062.03,,,0,
810,MANICURIST,39-5092.00,,,0,
838,MARRIAGE AND FAMILY THERAPIST,21-1031.00,,,0,
840,PLUMBER,47-2152.00,,,0,
956,MECHANICAL INSPECTOR,51-9061.02,,,0,
806,MEDIA SPECIALIST,,,,1,27-DEC-06
947,MILK SAMPLER AND WEIGHER,43-5111.00,,,0,
839,RESIDENTIAL MORTGAGE LENDER/BROKER,13-2072.00,,05-JUL-13,1,20-NOV-19
841,MOVERS AND WAREHOUSEMEN,53-7062.04,,,0,
817,MUNICIPAL ACCOUNTANT,13-2011.01,,,0,
870,NUCLEAR MEDICINE TECHNOLOGIST,29-2031.00,,,0,
926,NURSE AIDE,31-1021.00,,20-NOV-19,0,
814,NURSE-MIDWIFE,31-9099.99,,,0,
871,NURSING HOME ADMINISTRATOR,11-9111.03,,,0,
900,OPERATING ENGINEER - 3RD CLASS BLUE SEAL,47-2073.02,,01-DEC-20,0,
902,OPERATING ENGINEER - 1ST CLASS GOLD SEAL,47-2073.03,,01-DEC-20,0,
901,OPERATING ENGINEER - 2ND CLASS RED SEAL,47-2073.04,,01-DEC-20,0,
846,OPHTHALMIC DISPENSER (Optician),29-2081.00,,21-APR-09,0,
847,OPHTHALMIC TECHNICIAN,51-9083.00,,,0,
842,OPTOMETRIST,29-1041.00,,,0,
929,PARAMEDIC,29-2041.01,,,0,
915,PERSONAL CARE ASSISTANT,39-9021.00,,,0,
908,"PESTICIDE APPLICATOR, COMMERCIAL",37-3012.00,,,0,
907,"PESTICIDE APPLICATOR, PRIVATE",37-3012.01,,,0,
808,"PESTICIDE OPERATOR, COMMERCIAL",37-3012.03,,,0,
849,PHARMACIST,29-1051.00,,,0,
874,PHYSICIAN,29-1069.99,,,0,
934,PHYSICIAN ASSISTANT,29-1071.00,,,0,
957,PIER SUPERINTENDENT,53-1031.00,,,0,
879,PLUMBING INSPECTOR,47-4011.07,,,0,
946,PODIATRIC RADIOLOGIC TECHNOLOGIST,29-2034.06,,,0,
937,PORT WATCHMAN,33-9032.00,,,0,
850,LICENSED PRACTICAL NURSE (LPN),29-2061.00,,20-NOV-19,0,
