PROVIDERID,NAME,SCHOOLIDENTIFICATIONNUMBER,STREET1,STREET2,CITY,STATE,ZIP,COUNTY,MSTREET1,MSTREET2,MCITY,MSTATE,MZIP,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTTITLE,PHONE,PHONEEXTENSION,FAX,WEBSITE,EMAIL,LICENSINGAGENCYID,TYPEID,NONGOVAPPROVAL,CERTAPPROVALEXP,CUSTOMIZED,DISTANCELEARNING,SPEAKSPANISH,OTHERLANGUAGES,LANGUAGES,CAREERASSIST,ONESTOPCAREER,PERSONALASSIST,ACCESSAJBATB,CHILDCARE,ASSISTOBTAININGCHILDCARE,EVENINGCOURSES,ACCESSFORDISABLED,BUSROUTE1,BUSROUTE2,TRNROUTE1,TRNROUTE2,WIBCOMMENT,STATECOMMENT,DTSUBMITTED,STATUSNAME
133,Union County College - Adult & Continuing ED./Industry Business Institute,22151522501,1033 Springfield Ave.,,Cranford,NJ,7016,Union,1033 Springfield Ave.,"""Mackay Library, 1st Floor""",Cranford,NJ,7016,Lisa,Hiscano,"""Director, Continuing Education Department""",9089652358,,9089656046,https://www.ucc.edu/continuing-and-professional-education-and-workforce-development/continuing-education/,coned@ucc.edu,16,3,,,1,2,1,2,,2,1,1,1,2,2,1,1,"""58, 59, 66 - to Union (County) College - Cranford Campus""","""58, 59 - to Union (County) College - Elizabeth Campus""",NJ Transit Cranford Station- Raritan Valley Line,NJ Transit Elizabeth Station- North Jersey Coast and Northeast Corridor,,"""10/11/2021 - ETPL Renewal application approval expiration: AL

12/12/2019 -ETPL Renewal
10/26/2017 - ETPL renewal application approval expiration date. SH

09-22-2016 EPTL RENEWAL DKELLY
12-12-17 ETPL Renewal
AL""",1/1/2002 12:00:00 AM,Approved
118,Salem Community College - Credit Programs,221972013,460 Hollywood Avenue,,Carney's Point,NJ,8069,Salem,460 Hollywood Avenue,,Carney's Point,NJ,8069,Ron,Burkhardt,Assistant Dean,8563512608,,8568781570,www.salemcc.edu,rburkhardt@salemcc.edu,16,3,,,1,1,1,2,,1,1,1,1,2,1,1,1,Route #468,"""Route #401, #402""",none available,,,"""02/12/2022 - ETPL Renewal Application Approval Expiration Date. JH
12/4/17 no ETPL renewal app/student records - SAZ""",1/1/2002 12:00:00 AM,Approved
100,Paterson Public Schools - WIOA Title 2,226002199000,Adult and Continuing Education,151 Ellison Street,Paterson,NJ,7505,Passaic,Adult & Continuing Education,151 Ellison Street,Paterson,NJ,7505,Susan,Ronga,Program Director,9733210571,,9733210766,http://pace-pps-nj.schoolloop.com/,sronga@paterson.k12.nj.us,18,38,,6/30/2021 12:00:00 AM,1,2,1,2,,1,1,2,1,2,2,1,1,"""72, 161, 190, 703, 704, 712, 722""","""744, 746, 748, 790""",New Jersey Transit (Main Line),,,"""8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

4/26/18 no ETPL renewal app; reminder email sent 3/19/18 - SAZ
12/1/17- ETPL Renewal Approval Expiration Date. DBailey

9/25/17 approved for FY 17/18 Title II per J. Cohen - SAZ
4/7/17 suspended for expired COA - SAZ

This Provider offers training in Adult Literacy and Remedial Education under a Grant for Title II Adult/Remedial Education FY2014/15""",1/1/2002 12:00:00 AM,Approved
105,Perth Amboy Education Center Title II Grant Programs,226002208000,178 Barracks Street,,Perth Amboy,NJ,8861,Middlesex,178 Barracks St.,,Perth Amboy,NJ,8861,Dr. Vivian,Rodriguez,Assistant Superintendent for Learning/Educational,7323766200,30111,7326381050,www.paps.net,vivirodriguez@paps.net,18,38,,,2,2,1,2,,1,1,2,1,2,1,1,1,None,NA,NA,NA,,"""06/30/21_ETPL Renewal Approval Expiration Date. DBailey
6/30/19 ETPL renewal expiration - SAZ
10/4/18 updated Title II contract expiration - SAZ
7/2/18 COA expired - SAZ
6-30-2018 - (Title II Grant) Renewal Expiration Date. JH
4/7/17 suspended for expired COA - SAZ
This Provider is a partner in Adult Literacy and Remedial Education under a Grant for Title II Adult/Remedial Education FY2014/15""",6/16/2000 12:00:00 AM,Approved
65,Rowan College at Burlington County,221825538001,900 College Circle,,Mount Laurel,NJ,8054,Burlington,900 College Circle,,Mount Laurel,NJ,8054,Linda,Bobo,"""Director, Program Development and Instruction""",8562229311,2535,6098947227,www.rcbc.edu,lbobo@rcbc.edu,16,3,Middle States Association of Colleges and Schools,,1,1,1,2,,1,1,1,1,2,2,1,1,"""409, 413""","""317, 419""",None Available,,,"""10/8/21 - ETPL Approval Expiration Date: AL

12/06/2019 - ETPL Renewal Approval Expiration Date. SH

11/07/2017 - ETPL Renewal Approval Expiration Date. DBarry""",7/14/2000 12:00:00 AM,Approved
68,Camden County College - Continuing Education,221821290001,Continuing Education,200 College Drive,Blackwood,NJ,8012,Camden,200 College Drive,,Blackwood,NJ,8012,Kaina,Hanna,Project Coordinator,8568746004,,8563744866,www.camdencc.edu,khanna@camdencc.edu,16,3,,,1,1,1,2,,1,1,1,1,1,2,1,1,"""452, 403, 400""",,None available,,,"""09/11/2022 - ETPL Renewal application approval expiration date. SH

03/26/2020 - ETPL Renewal Application Approval Expiration Date. SH

12/2/17-ETPL Renewal Approval Expiration Date. DBailey""",1/1/2002 12:00:00 AM,Approved
70,County College of Morris,221817724001,214 Center Grove Rd.,"""Henderson Hall, Rm 210""",Randolph,NJ,7869,Morris,214 Center Grove Rd.,,Randolph,NJ,7869,Ilena,Kaler,"""Director, Workforce Development""",9733285085,,9733285082,http://www.ccm.edu,ikaler@ccm.edu; jlouie@ccm.edu; brodgers@ccm.edu,16,3,,,1,1,1,2,,2,1,2,1,2,2,1,1,NJ Transit #875,,,,,"""02/12/2022 - ETPL Renewal Application Approval Expiration. JH 
12/13/19 ETPL Renewal Application Approval Expiration Date - SAZ
09/19/2017 - ETPL renewal application approval expiration date. SH

8/30/17 confirmed student uploads - SAZ
suspended for non student record compliance- records were due no later than 6/30/17. -je

Formerly named """"County College of Morris Corporate & Community Programs."""" Name changed on 1/20/16. DBarry.""",6/15/2000 12:00:00 AM,Approved
59,Bergen Community College - Continuing Education Program,221820506001,400 Paramus Road,,Paramus,NJ,7652,Bergen,400 Paramus Road,TEC 115H,Paramus,NJ,7652,Cinzia,D'Iorio,"""Dean, Divison of Continuing Education""",2013011299,,2014477861,bergen.edu/continuinged,cgillespie@bergen.edu; cdiorio@bergen.edu,16,3,,6/30/2026 12:00:00 AM,1,1,1,1,"""French, Arabic, Chinese, French/French Creole, German, Greek, Hungarian, Indic/Hindu, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish, Tagalog (Philipines), Vietnamese, Yiddish/Hebrew""",1,1,1,1,1,1,1,1,NJ Transit  various routes and buses come directly onto Paramus campus.,Shuttle service between Paramus campus and Meadowlands campus.,None Available,,,"""02/6/2022 ETPL Renewal Approval Expiration Date - AL
12/12/19 ETPL Renewal Approval Expiration Date - SAZ

12/13/2017 - ETPL Renewal Approval Expiration Date. DBarry

suspended for non student record compliance- records were due no later than 6/30/17. -je (7/14/17 reinstated)""",1/1/2002 12:00:00 AM,Approved
49,Salem County Vocational Technical School District - WIOA Title 2,221987549000,Career Center,880 Route 45,Woodstown,NJ,8098,Salem,PO Box 350,,Woodstown,NJ,8098,Jennifer,Bates,Assistant Superintendent,8567690101,5346,8567694911,www.scvts.org,jbates@scvts.org,18,38,Mid-Atlantic States,6/30/2021 12:00:00 AM,1,2,2,2,,1,1,1,1,1,1,1,1,#468 NJ Transit Mannington-Salem Co Voc Tech,#468 NJ Transit Carney's Point-Salem Community College,,,,"""8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ

01/10/2020 - ETPL renewal expiration date - AL

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

09/21/2017 - ETPL renewal application approval expiration date. SH

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ""",1/1/2002 12:00:00 AM,Approved
56,Atlantic Cape Community College - Mays Landing,237368159001,5100 Black Horse PIke,,Cape May Court House,NJ,8330,Atlantic,5100 Black Horse PIke,,Mays Landing,NJ,8330,Carol,Fraone,College Recruiter,6093435009,,6093434921,www.atlantic.edu,cfraone@atlantic.edu,16,3,,,1,1,2,2,,1,1,2,2,2,2,1,1,NJ Transit 502,,,,,"""08/12/2022- ETPL Renewal Approval Expiration Date: AL

04/5/2020 - ETPL Renewal Approval Expiration Date; AL

04/20/18- ETPL Renewal Approval Expiration Date. DBailey""",1/1/2002 12:00:00 AM,Approved
6,Rowan College of South Jersey - Gloucester - WIOA Title 2,226088440001,1400 Tanyard Road,,Sewell,NJ,8080,Gloucester,1400 Tanyard Road,,Sewell,NJ,8080,Thewantha,Torain,Administrator,8564685000,2218,8564157918,www.rcgc.edu,ttorain@rcgc.edu,16,38,,6/30/2021 12:00:00 AM,1,1,2,2,,2,1,1,1,2,1,1,1,463,,none available,,,"""03/26/2022 - ETPL Renewal Application Expiration Date. JH 

8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ

03/26/20-ETPL Renewal Approval Expiration Date. DBailey

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

11/21/17- ETPL Renewal Approval Expiration Date. DBAILEY

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ

Partner Title II Grant FY 2016/17""",1/1/2002 12:00:00 AM,Approved
1304,"""Middlesex County College, Professional and Community Programs""",221769370002,2600 Woodbridge Avenue,,Edison,NJ,8818,Middlesex,2600 Woodbridge Avenue,,Edison,NJ,8818,Martin E.,Schamberg,Recruitment and Program Manager,7325486000,3813,7329067741,www.Middlesexcc.edu,mschamberger@middlesexcc.edu,16,3,,,1,2,2,2,,1,1,1,1,1,1,1,1,M-13 MCC Edison-New Brusnwick,M-14 MCC Edison- Perth Amboy,NJ Transit Metuchen,NJ Transit New Brusnwick/Perth Amboy,,"""10/28/2021 - ETPL renewal application approval expiration date. SH

12/29/2019 - ETPL renewal application approval expiration date. SH

09/19/2017 - ETPL Renewal application approval expiration date. SH""",7/18/2001 5:00:22 PM,Approved
